epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,5660.06,0.23757,0.36994,0.88092,0.92189,0.9568,0.995,0.94902,0.27402,0.45178,0.80489,0.000145589,0.000145589,0.000145589
78,5728.7,0.23841,0.37602,0.89251,0.90288,0.98825,0.995,0.95398,0.28163,0.44181,0.80657,0.000139768,0.000139768,0.000139768
79,5797.09,0.23985,0.36849,0.88848,0.93562,0.95576,0.995,0.94807,0.28099,0.46342,0.80907,0.000133946,0.000133946,0.000133946
80,5865.42,0.23894,0.35732,0.87966,0.93193,0.96656,0.99202,0.93849,0.2943,0.46165,0.81426,0.000128125,0.000128125,0.000128125
81,5933.8,0.23095,0.36782,0.88249,0.95064,0.9812,0.995,0.94565,0.27612,0.43876,0.80612,0.000122304,0.000122304,0.000122304
82,6001.96,0.23077,0.38184,0.88943,0.96197,0.98173,0.995,0.95462,0.27816,0.42955,0.80757,0.000116483,0.000116483,0.000116483
83,6070.34,0.23404,0.35536,0.88594,0.97355,0.97437,0.995,0.93897,0.28945,0.41673,0.81224,0.000110662,0.000110662,0.000110662
84,6139.03,0.21806,0.33862,0.88215,0.97174,0.95557,0.995,0.93586,0.29481,0.42321,0.8141,0.00010484,0.00010484,0.00010484
85,6207.05,0.21386,0.33075,0.87585,0.96895,0.94343,0.995,0.93997,0.28229,0.42682,0.80771,9.90192e-05,9.90192e-05,9.90192e-05
86,6276.47,0.23648,0.34092,0.87726,0.96476,0.966,0.995,0.94628,0.28192,0.41363,0.80375,9.3198e-05,9.3198e-05,9.3198e-05
87,6343.84,0.22445,0.33504,0.88142,0.96794,0.97125,0.995,0.94406,0.28943,0.40018,0.80572,8.73768e-05,8.73768e-05,8.73768e-05
88,6410.75,0.23673,0.34245,0.88884,0.97167,0.96908,0.995,0.94613,0.27099,0.39998,0.79919,8.15556e-05,8.15556e-05,8.15556e-05
89,6480.49,0.21809,0.34394,0.88271,0.94779,0.9679,0.995,0.94612,0.28633,0.42474,0.80538,7.57344e-05,7.57344e-05,7.57344e-05
90,6553.25,0.22146,0.32471,0.87956,0.94942,0.96564,0.995,0.95469,0.28235,0.41577,0.80516,6.99132e-05,6.99132e-05,6.99132e-05
91,6624.35,0.20224,0.57096,0.87703,0.93327,0.99055,0.995,0.94454,0.30453,0.47212,0.8164,6.4092e-05,6.4092e-05,6.4092e-05
92,6696.11,0.18762,0.46028,0.85017,0.96883,0.97171,0.99136,0.94315,0.31387,0.46041,0.82147,5.82708e-05,5.82708e-05,5.82708e-05
93,6771.23,0.18338,0.43269,0.8563,0.97668,0.9723,0.99202,0.94125,0.29778,0.44581,0.81163,5.24496e-05,5.24496e-05,5.24496e-05
94,6846.25,0.18402,0.45653,0.85821,0.96398,0.98738,0.995,0.95286,0.29573,0.42696,0.81388,4.66284e-05,4.66284e-05,4.66284e-05
95,6919.54,0.18158,0.42511,0.86182,0.97077,0.98931,0.995,0.95063,0.28881,0.41002,0.81034,4.08072e-05,4.08072e-05,4.08072e-05
96,6993.02,0.17769,0.39932,0.85733,0.98096,0.98967,0.995,0.95053,0.29226,0.40923,0.80974,3.4986e-05,3.4986e-05,3.4986e-05
97,7063.54,0.17725,0.40663,0.84698,0.97783,0.99178,0.995,0.95288,0.28667,0.40423,0.80594,2.91648e-05,2.91648e-05,2.91648e-05
98,7134.4,0.17346,0.39531,0.84215,0.97344,0.99277,0.995,0.94796,0.29347,0.3951,0.80626,2.33436e-05,2.33436e-05,2.33436e-05
99,7204.8,0.1756,0.39073,0.85989,0.97192,0.99232,0.995,0.95046,0.29896,0.39851,0.80743,1.75224e-05,1.75224e-05,1.75224e-05
100,7275.81,0.16629,0.38678,0.85799,0.96604,0.99291,0.995,0.94205,0.29574,0.39724,0.80594,1.17012e-05,1.17012e-05,1.17012e-05
