epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5338.63,0.24321,0.37737,0.87778,0.93408,0.93373,0.96887,0.91145,0.29982,0.53576,0.81578,0.000163052,0.000163052,0.000163052
75,5408.51,0.23363,0.37339,0.87835,0.94873,0.92953,0.98392,0.9289,0.30758,0.49972,0.82491,0.000157231,0.000157231,0.000157231
76,5480.89,0.23434,0.36764,0.88115,0.96716,0.96732,0.98678,0.92995,0.31233,0.47076,0.83137,0.00015141,0.00015141,0.00015141
77,5553.13,0.23055,0.36068,0.88275,0.9763,0.9785,0.99379,0.94013,0.30896,0.44645,0.82675,0.000145589,0.000145589,0.000145589
78,5623.55,0.23514,0.35793,0.88643,0.94897,0.97735,0.99379,0.94079,0.29935,0.45029,0.82001,0.000139768,0.000139768,0.000139768
79,5692.98,0.23054,0.3667,0.88168,0.93983,0.96887,0.99134,0.93917,0.29553,0.4392,0.81472,0.000133946,0.000133946,0.000133946
80,5762.42,0.22918,0.3741,0.87528,0.97259,0.94881,0.98721,0.93722,0.2861,0.43126,0.81115,0.000128125,0.000128125,0.000128125
81,5831.82,0.2266,0.34605,0.88254,0.95741,0.96026,0.98885,0.947,0.28956,0.45424,0.8109,0.000122304,0.000122304,0.000122304
82,5900.84,0.23313,0.36522,0.88914,0.96487,0.96671,0.98885,0.94097,0.28494,0.44398,0.80779,0.000116483,0.000116483,0.000116483
83,5971.43,0.2256,0.34528,0.8698,0.97809,0.94052,0.99055,0.93854,0.29303,0.41914,0.80805,0.000110662,0.000110662,0.000110662
84,6041.19,0.22606,0.33612,0.87439,0.97772,0.97727,0.98885,0.93387,0.29288,0.42552,0.81248,0.00010484,0.00010484,0.00010484
85,6110.7,0.22041,0.33884,0.88577,0.97291,0.97225,0.98745,0.93984,0.28616,0.42836,0.80493,9.90192e-05,9.90192e-05,9.90192e-05
86,6183.46,0.22902,0.34045,0.88634,0.97482,0.96564,0.98773,0.93443,0.27542,0.4096,0.80144,9.3198e-05,9.3198e-05,9.3198e-05
87,6256.69,0.22285,0.349,0.87371,0.94736,0.98559,0.98745,0.93455,0.29936,0.43111,0.8135,8.73768e-05,8.73768e-05,8.73768e-05
88,6325.13,0.2242,0.34598,0.88189,0.95413,0.9768,0.9871,0.93632,0.2826,0.42972,0.80767,8.15556e-05,8.15556e-05,8.15556e-05
89,6398.05,0.21462,0.33946,0.87499,0.94939,0.97727,0.98455,0.92877,0.29692,0.44263,0.81136,7.57344e-05,7.57344e-05,7.57344e-05
90,6469.02,0.21664,0.32677,0.88003,0.95758,0.97321,0.98409,0.93656,0.29292,0.44468,0.81035,6.99132e-05,6.99132e-05,6.99132e-05
91,6547.87,0.22893,0.66317,0.9012,0.97616,0.97399,0.9827,0.92746,0.3041,0.48383,0.81874,6.4092e-05,6.4092e-05,6.4092e-05
92,6626.25,0.19561,0.49415,0.8582,0.97632,0.95,0.98206,0.92734,0.30054,0.48025,0.81338,5.82708e-05,5.82708e-05,5.82708e-05
93,6704.4,0.18735,0.4478,0.86439,0.98181,0.95219,0.98464,0.93407,0.30027,0.46692,0.80851,5.24496e-05,5.24496e-05,5.24496e-05
94,6778.3,0.18677,0.43986,0.85872,0.97829,0.94866,0.98205,0.92978,0.29057,0.47285,0.80495,4.66284e-05,4.66284e-05,4.66284e-05
95,6856.71,0.17926,0.42047,0.8576,0.96852,0.94295,0.98485,0.92218,0.28824,0.46289,0.80617,4.08072e-05,4.08072e-05,4.08072e-05
96,6932.06,0.17338,0.40098,0.86693,0.97577,0.95781,0.98923,0.92549,0.28923,0.44809,0.80474,3.4986e-05,3.4986e-05,3.4986e-05
97,7006.43,0.17265,0.40502,0.86438,0.97804,0.96131,0.98854,0.92666,0.29119,0.43756,0.80408,2.91648e-05,2.91648e-05,2.91648e-05
98,7082.83,0.17173,0.40085,0.85505,0.97898,0.96666,0.98955,0.92963,0.28815,0.42699,0.80489,2.33436e-05,2.33436e-05,2.33436e-05
99,7155.86,0.17684,0.39081,0.86528,0.97841,0.97948,0.98894,0.92954,0.28649,0.42104,0.8059,1.75224e-05,1.75224e-05,1.75224e-05
100,7228.78,0.17004,0.41293,0.8523,0.97928,0.98086,0.98868,0.94422,0.28442,0.42162,0.80442,1.17012e-05,1.17012e-05,1.17012e-05
